prefLabel,altLabels,displayName,uri,confidence
humic acids,,humic acids,http://aims.fao.org/aos/agrovoc/c_3685,N/A
plant requirements,soil requirements,plant requirements (soil requirements),http://aims.fao.org/aos/agrovoc/c_25444,N/A
Universal Soil Loss Equation,USLE (Universal Soil Loss Equation),Universal Soil Loss Equation (USLE (Universal Soil Loss Equation)),http://aims.fao.org/aos/agrovoc/c_32619,N/A
desertification,desertization,desertification (desertization),http://aims.fao.org/aos/agrovoc/c_2204,N/A
sediment yield,,sediment yield,http://aims.fao.org/aos/agrovoc/c_972594a4,N/A
soil accumulation,,soil accumulation,http://aims.fao.org/aos/agrovoc/c_6b424f29,N/A
soil loss,soil denudation,soil loss (soil denudation),http://aims.fao.org/aos/agrovoc/c_8dab65bc,N/A
soil movement,,soil movement,http://aims.fao.org/aos/agrovoc/c_7180,N/A
tillage erosion,,tillage erosion,http://aims.fao.org/aos/agrovoc/c_924f2195,N/A
water erosion,rain erosion,water erosion (rain erosion),http://aims.fao.org/aos/agrovoc/c_8318,N/A
weathering,,weathering,http://aims.fao.org/aos/agrovoc/c_8343,N/A
wind erosion,,wind erosion,http://aims.fao.org/aos/agrovoc/c_8393,N/A
soil exhaustion,soil depletion,soil exhaustion (soil depletion),http://aims.fao.org/aos/agrovoc/c_26857,N/A
puddling,wet tillage,puddling (wet tillage),http://aims.fao.org/aos/agrovoc/c_35282,N/A
ripping (tillage),,ripping (tillage),http://aims.fao.org/aos/agrovoc/c_36248,N/A
rolling,,rolling,http://aims.fao.org/aos/agrovoc/c_25797,N/A
rotary cultivation,rotary tillage,rotary cultivation (rotary tillage),http://aims.fao.org/aos/agrovoc/c_24233,N/A
secondary tillage,,secondary tillage,http://aims.fao.org/aos/agrovoc/c_330784,N/A
seedbed preparation,,seedbed preparation,http://aims.fao.org/aos/agrovoc/c_6943,N/A
